dataset,model,probability_calibration,marginal_minority_coverage,mondrian_minority_coverage,coverage_gain,mondrian_abstention,mondrian_cost,break_even_defer_cost,failure_mode
seismic_bumps,gnb,isotonic,0.0029411764705882353,0.9794117647058824,0.9764705882352942,0.8557059961315281,0.07369439071566732,0.4380650994575045,high_abstention
pc1,gnb,isotonic,0.025,0.975,0.95,0.8387387387387386,0.06486486486486487,0.5827067669172933,high_abstention
seismic_bumps,hgb,isotonic,0.026470588235294117,0.9705882352941178,0.9441176470588236,0.8382978723404255,0.07214700193423597,0.5239963082602677,high_abstention
ozone_level_8hr,gnb,sigmoid,0.0,0.978125,0.978125,0.8364891518737674,0.052662721893491124,0.41711860410280593,high_abstention
seismic_bumps,ada,isotonic,0.011764705882352941,0.9764705882352942,0.9647058823529413,0.8187620889748549,0.06653771760154739,0.4660996928892039,high_abstention
seismic_bumps,rf,isotonic,0.008823529411764706,0.9705882352941175,0.9617647058823529,0.8098646034816248,0.07562862669245649,0.46787676140434675,high_abstention
seismic_bumps,gb,isotonic,0.0029411764705882353,0.9617647058823529,0.9588235294117646,0.804642166344294,0.07969052224371373,0.49735576923076924,high_abstention
fraud,hgb,sigmoid,0.0,0.9383838383838384,0.9383838383838384,0.8018714230539657,0.07309083248481443,0.0,high_abstention
sick_numeric,gnb,isotonic,0.0,0.9608695652173912,0.9608695652173912,0.7915231788079471,0.02384105960264901,0.7085006693440429,high_abstention
seismic_bumps,ada,none,0.0,0.9794117647058824,0.9794117647058824,0.7866537717601547,0.07408123791102514,0.4401278583722646,high_abstention
diabetes130us,ada,isotonic,0.13028169014084506,0.9402728873239437,0.8099911971830986,0.7796158003340866,0.13446988306966692,0.8233963310499549,high_abstention
diabetes130us,logreg,isotonic,0.14273767605633803,0.9334947183098592,0.7907570422535212,0.7787019750417608,0.1357079689495922,0.8408613412241241,high_abstention
sick_numeric,gnb,sigmoid,0.0,0.9586956521739131,0.9586956521739131,0.7543046357615895,0.025165562913907286,0.7940298507462686,high_abstention
credit_g,hgb,isotonic,0.8516666666666668,0.9550000000000001,0.10333333333333328,0.7515,0.1565,0.7079174983366601,high_abstention
fraud,hgb,none,0.686868686868687,0.9484848484848485,0.2616161616161615,0.7104227379656612,0.08277097012043116,0.0,low_review_cost_tolerance
mammography,logreg,isotonic,0.21730769230769229,0.9615384615384617,0.7442307692307694,0.6919982118909254,0.06499776486365669,0.045478036175710605,low_review_cost_tolerance
mammography,hgb,isotonic,0.40576923076923077,0.9596153846153846,0.5538461538461539,0.6517657577112204,0.042825212337952626,0.049039780521262,low_review_cost_tolerance
mammography,gnb,isotonic,0.05,0.9634615384615385,0.9134615384615384,0.6292802860974519,0.09628967367009388,0.023016267670668472,low_review_cost_tolerance
wilt,et,isotonic,0.526923076923077,0.976923076923077,0.44999999999999996,0.6238636363636363,0.031508264462809916,0.05149859248219903,low_review_cost_tolerance
mammography,gb,isotonic,0.24230769230769228,0.9653846153846153,0.723076923076923,0.6207420652659812,0.04702726866338846,0.060204522540688456,low_review_cost_tolerance
mammography,ada,isotonic,0.12115384615384617,0.9615384615384617,0.8403846153846155,0.5564148413053196,0.062002682163611975,0.047481320800192815,low_review_cost_tolerance
sick_numeric,logreg,isotonic,0.10869565217391304,0.9586956521739131,0.85,0.5064900662251655,0.08370860927152318,0.23064853556485357,low_review_cost_tolerance
